datetime,temperature,humidity,pressure,weather,status
2025-11-13 15:00:00,19.05,48,1017,Clear,SAFE 
2025-11-13 18:00:00,20.01,37,1017,Clear,SAFE 
2025-11-13 21:00:00,15.48,27,1016,Clear,SAFE 
2025-11-14 00:00:00,12.34,18,1016,Clear,SAFE 
2025-11-14 03:00:00,12.24,16,1018,Clear,SAFE 
2025-11-14 06:00:00,24.75,12,1018,Clear,SAFE 
2025-11-14 09:00:00,27.32,11,1015,Clear,SAFE 
2025-11-14 12:00:00,26.19,13,1015,Clear,SAFE 
2025-11-14 15:00:00,24.05,16,1016,Clear,SAFE 
2025-11-14 18:00:00,22.11,18,1016,Clear,SAFE 
2025-11-14 21:00:00,20.6,19,1016,Clear,SAFE 
2025-11-15 00:00:00,19.46,20,1016,Clear,SAFE 
2025-11-15 03:00:00,20.43,18,1018,Clear,SAFE 
2025-11-15 06:00:00,24.88,13,1018,Clear,SAFE 
2025-11-15 09:00:00,27.62,10,1015,Clear,SAFE 
2025-11-15 12:00:00,26.27,12,1015,Clear,SAFE 
2025-11-15 15:00:00,23.98,14,1017,Clear,SAFE 
2025-11-15 18:00:00,21.85,16,1018,Clear,SAFE 
2025-11-15 21:00:00,20.49,17,1017,Clear,SAFE 
2025-11-16 00:00:00,19.48,19,1018,Clear,SAFE 
2025-11-16 03:00:00,20.34,17,1020,Clear,SAFE 
2025-11-16 06:00:00,24.94,12,1019,Clear,SAFE 
2025-11-16 09:00:00,27.78,9,1017,Clear,SAFE 
2025-11-16 12:00:00,26.37,11,1017,Clear,SAFE 
2025-11-16 15:00:00,23.92,13,1018,Clear,SAFE 
2025-11-16 18:00:00,21.85,15,1018,Clear,SAFE 
2025-11-16 21:00:00,20.49,16,1017,Clear,SAFE 
2025-11-17 00:00:00,19.56,16,1017,Clouds,SAFE 
2025-11-17 03:00:00,20.52,15,1019,Clouds,SAFE 
2025-11-17 06:00:00,24.89,11,1018,Clear,SAFE 
2025-11-17 09:00:00,27.48,9,1016,Clear,SAFE 
2025-11-17 12:00:00,26.28,10,1016,Clouds,SAFE 
2025-11-17 15:00:00,23.84,14,1017,Clear,SAFE 
2025-11-17 18:00:00,22.15,17,1018,Clear,SAFE 
2025-11-17 21:00:00,20.79,19,1017,Clear,SAFE 
2025-11-18 00:00:00,19.93,21,1017,Clear,SAFE 
2025-11-18 03:00:00,20.74,20,1018,Clear,SAFE 
2025-11-18 06:00:00,25.02,14,1018,Clear,SAFE 
2025-11-18 09:00:00,27.5,12,1015,Clear,SAFE 
2025-11-18 12:00:00,26.42,14,1014,Clear,SAFE 
