datetime,temperature,humidity,pressure,weather,status
2025-11-13 15:00:00,-5.85,31,1029,Clear,SAFE 
2025-11-13 18:00:00,-6.1,32,1030,Clear,SAFE 
2025-11-13 21:00:00,-6.97,34,1030,Clear,SAFE 
2025-11-14 00:00:00,-8.36,36,1032,Clear,SAFE 
2025-11-14 03:00:00,-6.78,30,1033,Clear,SAFE 
2025-11-14 06:00:00,-4.0,26,1029,Clear,SAFE 
2025-11-14 09:00:00,-2.61,24,1025,Clear,SAFE 
2025-11-14 12:00:00,-4.87,32,1027,Clouds,SAFE 
2025-11-14 15:00:00,-5.33,31,1028,Clouds,SAFE 
2025-11-14 18:00:00,-6.27,32,1030,Clouds,SAFE 
2025-11-14 21:00:00,-6.99,32,1030,Clear,SAFE 
2025-11-15 00:00:00,-7.77,33,1031,Clear,SAFE 
2025-11-15 03:00:00,-6.56,32,1032,Clear,SAFE 
2025-11-15 06:00:00,-3.56,28,1029,Clear,SAFE 
2025-11-15 09:00:00,-1.87,24,1025,Clear,SAFE 
2025-11-15 12:00:00,-4.07,34,1027,Clear,SAFE 
2025-11-15 15:00:00,-4.83,33,1030,Clear,SAFE 
2025-11-15 18:00:00,-5.62,33,1032,Clear,SAFE 
2025-11-15 21:00:00,-6.48,32,1033,Clear,SAFE 
2025-11-16 00:00:00,-7.25,32,1033,Clear,SAFE 
2025-11-16 03:00:00,-5.44,28,1035,Clear,SAFE 
2025-11-16 06:00:00,-2.24,23,1034,Clear,SAFE 
2025-11-16 09:00:00,-0.97,23,1030,Clear,SAFE 
2025-11-16 12:00:00,-3.9,34,1032,Clear,SAFE 
2025-11-16 15:00:00,-3.9,28,1034,Clear,SAFE 
2025-11-16 18:00:00,-4.68,28,1034,Clouds,SAFE 
2025-11-16 21:00:00,-4.85,28,1033,Clouds,SAFE 
2025-11-17 00:00:00,-5.41,31,1033,Clouds,SAFE 
2025-11-17 03:00:00,-3.71,27,1032,Clouds,SAFE 
2025-11-17 06:00:00,-0.48,21,1028,Clouds,SAFE 
2025-11-17 09:00:00,1.5,23,1024,Clear,SAFE 
2025-11-17 12:00:00,-1.4,34,1024,Clear,SAFE 
2025-11-17 15:00:00,-2.32,35,1027,Clear,SAFE 
2025-11-17 18:00:00,-3.16,36,1029,Clear,SAFE 
2025-11-17 21:00:00,-4.15,38,1029,Clear,SAFE 
2025-11-18 00:00:00,-5.07,40,1030,Clear,SAFE 
2025-11-18 03:00:00,-3.54,38,1031,Clear,SAFE 
2025-11-18 06:00:00,-0.53,30,1027,Clear,SAFE 
2025-11-18 09:00:00,1.45,30,1023,Clear,SAFE 
2025-11-18 12:00:00,-1.32,42,1024,Clear,SAFE 
