datetime,temperature,humidity,pressure,weather,status
2025-11-13 15:00:00,17.97,52,1017,Clear,SAFE 
2025-11-13 18:00:00,17.67,43,1017,Clear,SAFE 
2025-11-13 21:00:00,16.06,36,1017,Clear,SAFE 
2025-11-14 00:00:00,14.11,31,1017,Clear,SAFE 
2025-11-14 03:00:00,16.89,29,1018,Clear,SAFE 
2025-11-14 06:00:00,23.8,18,1018,Clear,SAFE 
2025-11-14 09:00:00,26.65,14,1016,Clear,SAFE 
2025-11-14 12:00:00,21.27,20,1015,Clear,SAFE 
2025-11-14 15:00:00,18.13,23,1017,Clear,SAFE 
2025-11-14 18:00:00,16.63,25,1017,Clear,SAFE 
2025-11-14 21:00:00,15.05,28,1017,Clear,SAFE 
2025-11-15 00:00:00,13.8,30,1017,Clear,SAFE 
2025-11-15 03:00:00,16.56,28,1018,Clear,SAFE 
2025-11-15 06:00:00,23.89,17,1018,Clear,SAFE 
2025-11-15 09:00:00,26.75,12,1016,Clear,SAFE 
2025-11-15 12:00:00,21.05,18,1016,Clear,SAFE 
2025-11-15 15:00:00,18.22,20,1017,Clear,SAFE 
2025-11-15 18:00:00,16.6,22,1018,Clear,SAFE 
2025-11-15 21:00:00,14.86,24,1018,Clear,SAFE 
2025-11-16 00:00:00,13.82,26,1018,Clear,SAFE 
2025-11-16 03:00:00,16.69,25,1020,Clear,SAFE 
2025-11-16 06:00:00,23.89,16,1020,Clear,SAFE 
2025-11-16 09:00:00,26.65,12,1017,Clear,SAFE 
2025-11-16 12:00:00,21.08,18,1017,Clear,SAFE 
2025-11-16 15:00:00,18.53,19,1019,Clouds,SAFE 
2025-11-16 18:00:00,17.32,21,1018,Clouds,SAFE 
2025-11-16 21:00:00,15.48,24,1018,Clouds,SAFE 
2025-11-17 00:00:00,14.3,26,1017,Clouds,SAFE 
2025-11-17 03:00:00,17.19,24,1019,Clear,SAFE 
2025-11-17 06:00:00,24.3,16,1018,Clear,SAFE 
2025-11-17 09:00:00,26.82,12,1015,Clear,SAFE 
2025-11-17 12:00:00,21.19,17,1015,Clear,SAFE 
2025-11-17 15:00:00,18.7,18,1017,Clear,SAFE 
2025-11-17 18:00:00,17.28,21,1018,Clear,SAFE 
2025-11-17 21:00:00,15.36,27,1017,Clouds,SAFE 
2025-11-18 00:00:00,14.07,30,1017,Clouds,SAFE 
2025-11-18 03:00:00,17.03,28,1019,Clouds,SAFE 
2025-11-18 06:00:00,24.49,18,1018,Clouds,SAFE 
2025-11-18 09:00:00,26.51,13,1015,Clouds,SAFE 
2025-11-18 12:00:00,21.13,19,1015,Clouds,SAFE 
