datetime,temperature,humidity,pressure,weather,status
2025-11-13 15:00:00,19.16,13,1017,Clear,SAFE 
2025-11-13 18:00:00,20.2,14,1017,Clear,SAFE 
2025-11-13 21:00:00,15.82,16,1016,Clear,SAFE 
2025-11-14 00:00:00,12.43,18,1016,Clear,SAFE 
2025-11-14 03:00:00,12.23,16,1018,Clear,SAFE 
2025-11-14 06:00:00,25.02,12,1018,Clear,SAFE 
2025-11-14 09:00:00,27.26,11,1015,Clear,SAFE 
2025-11-14 12:00:00,26.18,13,1015,Clear,SAFE 
2025-11-14 15:00:00,24.24,16,1016,Clear,SAFE 
2025-11-14 18:00:00,22.47,18,1016,Clear,SAFE 
2025-11-14 21:00:00,21.03,18,1016,Clear,SAFE 
2025-11-15 00:00:00,19.86,19,1016,Clear,SAFE 
2025-11-15 03:00:00,20.95,18,1018,Clear,SAFE 
2025-11-15 06:00:00,25.16,12,1018,Clear,SAFE 
2025-11-15 09:00:00,27.6,9,1015,Clear,SAFE 
2025-11-15 12:00:00,26.28,11,1015,Clear,SAFE 
2025-11-15 15:00:00,24.24,14,1017,Clear,SAFE 
2025-11-15 18:00:00,22.28,15,1018,Clear,SAFE 
2025-11-15 21:00:00,20.89,16,1017,Clear,SAFE 
2025-11-16 00:00:00,19.82,18,1018,Clear,SAFE 
2025-11-16 03:00:00,20.87,17,1020,Clear,SAFE 
2025-11-16 06:00:00,25.16,12,1019,Clear,SAFE 
2025-11-16 09:00:00,27.7,9,1017,Clear,SAFE 
2025-11-16 12:00:00,26.41,10,1017,Clear,SAFE 
2025-11-16 15:00:00,24.15,13,1018,Clear,SAFE 
2025-11-16 18:00:00,22.22,15,1018,Clear,SAFE 
2025-11-16 21:00:00,20.89,15,1017,Clear,SAFE 
2025-11-17 00:00:00,19.83,16,1017,Clear,SAFE 
2025-11-17 03:00:00,20.88,15,1019,Clouds,SAFE 
2025-11-17 06:00:00,25.16,10,1018,Clear,SAFE 
2025-11-17 09:00:00,27.42,9,1016,Clear,SAFE 
2025-11-17 12:00:00,26.24,10,1016,Clouds,SAFE 
2025-11-17 15:00:00,23.8,15,1017,Clear,SAFE 
2025-11-17 18:00:00,22.12,18,1018,Clear,SAFE 
2025-11-17 21:00:00,20.81,20,1017,Clear,SAFE 
2025-11-18 00:00:00,19.98,21,1017,Clear,SAFE 
2025-11-18 03:00:00,21.01,20,1018,Clear,SAFE 
2025-11-18 06:00:00,25.22,14,1018,Clear,SAFE 
2025-11-18 09:00:00,27.41,12,1015,Clear,SAFE 
2025-11-18 12:00:00,26.32,15,1014,Clear,SAFE 
