datetime,temperature,humidity,pressure,weather,status
2025-11-13 18:00:00,21.7,60,1016,Clear,SAFE 
2025-11-13 21:00:00,19.68,56,1015,Clear,SAFE 
2025-11-14 00:00:00,16.8,57,1016,Clear,SAFE 
2025-11-14 03:00:00,19.72,51,1018,Clear,SAFE 
2025-11-14 06:00:00,24.82,37,1017,Clear,SAFE 
2025-11-14 09:00:00,27.04,30,1013,Clear,SAFE 
2025-11-14 12:00:00,24.61,38,1013,Clear,SAFE 
2025-11-14 15:00:00,21.27,40,1016,Clear,SAFE 
2025-11-14 18:00:00,18.68,43,1016,Clear,SAFE 
2025-11-14 21:00:00,17.26,47,1015,Clear,SAFE 
2025-11-15 00:00:00,16.08,51,1016,Clear,SAFE 
2025-11-15 03:00:00,19.46,47,1018,Clear,SAFE 
2025-11-15 06:00:00,24.76,35,1017,Clear,SAFE 
2025-11-15 09:00:00,26.8,28,1013,Clear,SAFE 
2025-11-15 12:00:00,24.32,37,1014,Clear,SAFE 
2025-11-15 15:00:00,21.26,37,1016,Clear,SAFE 
2025-11-15 18:00:00,18.51,43,1017,Clear,SAFE 
2025-11-15 21:00:00,17.12,47,1016,Clear,SAFE 
2025-11-16 00:00:00,16.01,53,1017,Clear,SAFE 
2025-11-16 03:00:00,19.33,49,1019,Clouds,SAFE 
2025-11-16 06:00:00,24.48,36,1018,Clouds,SAFE 
2025-11-16 09:00:00,26.66,28,1014,Clouds,SAFE 
2025-11-16 12:00:00,24.01,36,1015,Clouds,SAFE 
2025-11-16 15:00:00,20.31,39,1018,Clear,SAFE 
2025-11-16 18:00:00,18.24,46,1017,Clear,SAFE 
2025-11-16 21:00:00,16.83,52,1016,Clear,SAFE 
2025-11-17 00:00:00,15.96,54,1016,Clear,SAFE 
2025-11-17 03:00:00,18.97,50,1018,Clouds,SAFE 
2025-11-17 06:00:00,24.31,37,1017,Clouds,SAFE 
2025-11-17 09:00:00,26.72,28,1013,Clouds,SAFE 
2025-11-17 12:00:00,24.12,35,1014,Clouds,SAFE 
2025-11-17 15:00:00,19.79,40,1017,Clear,SAFE 
2025-11-17 18:00:00,17.97,44,1017,Clear,SAFE 
2025-11-17 21:00:00,16.84,48,1015,Clouds,SAFE 
2025-11-18 00:00:00,15.7,52,1016,Clouds,SAFE 
2025-11-18 03:00:00,18.32,49,1018,Clouds,SAFE 
2025-11-18 06:00:00,23.96,34,1016,Clouds,SAFE 
2025-11-18 09:00:00,26.98,27,1013,Clouds,SAFE 
2025-11-18 12:00:00,24.43,35,1013,Clouds,SAFE 
2025-11-18 15:00:00,21.09,36,1015,Clouds,SAFE 
